subject,predicate,object,file_id
post office,is located in,just before the curtain fell,semeval
guy,convinced,someone,semeval
someone,has,car,semeval
car,occurs_in,somewhere,semeval
someone,goes_to,somewhere,semeval
someone,procures_for,others,semeval
others,have,beer,semeval
woman named bianca,is,designer of,semeval
his literary debut,occured in,1919,semeval
"esenin's small circle of ""literary hooligans""",includes,entity he,semeval
imagineists,belongs_to,"esenin's small circle of ""literary hooligans""",semeval
entity he,joined,"esenin's small circle of ""literary hooligans""",semeval
his literary debut,occurs_in,"esenin's small circle of ""literary hooligans""",semeval
1919,occurs_in,his literary debut,semeval
entity he,uses,imagineists,semeval
my rabbit,had,new litter,semeval
rabbits,belongs_to,my rabbit,semeval
rabbits,has,baby rabbits,semeval
my rabbit,uses,food,semeval
my rabbit,requires,water,semeval
several texts,relate to,mythological anecdotes,semeval
mythological anecdotes,associated with,his birth and exploits,semeval
his birth and exploits,explain,distinct iconography,semeval
iconography,belongs_to,entity a,semeval
these new documents,point out,a number of troubling strategies,semeval
enron,uses,these new documents,semeval
enron,utilizes,troubling strategies,semeval
punchcutter,makes,imprint,semeval
imprint,occurs_on,piece of paper,semeval
piece of paper,made_of,material not specified,semeval
punchcutter,uses,soot,semeval
open flame,produces,soot,semeval
plug of the battery box,connects to,plug of the charger,semeval
entity,has,strategy,semeval
strategy,includes,engage,semeval
global community,benefits,economy,semeval
economy,occurs_in,kingdom_of_saudi_arabia,semeval
national security,promoted_by,strategy,semeval
welfare,promoted_by,strategy,semeval
ofws_community,is_part_of,entity,semeval
entity,located_in,kingdom_of_saudi_arabia,semeval
kingdom_of_saudi_arabia,includes,ofws_community,semeval
presentation,uses,animation,semeval
animation,causes,sickness,semeval
germs_and_microbes,causes,sickness,semeval
presentation,outlines,preventive_measures,semeval
preventive_measures,includes,simple_instructions,semeval
the possible implications,was indicated in,the first publication,semeval
document,is about,illegal drugs,semeval
illegal drugs,causes,harm,semeval
object-oriented-software-construction,was used by,bertrand mayer,semeval
bertrand mayer,wrote,object-oriented-software-construction,semeval
object-oriented-software-construction,is derived from,model,semeval
researchers,has,basic ingredients,semeval
basic ingredients,is synthesized by,researchers,semeval
mug,contains,ale,semeval
ale,poured into,mug,semeval
mug,has,foam,semeval
mug,includes,translucent liquid,semeval
translucent liquid,becomes,clarified liquid,semeval
clarified liquid,appears as,suds-topped amber,semeval
vacuum motor,belongs_to,central vacuum,semeval
canister,contains,vacuum motor,semeval
filtration system,belongs_to,central vacuum,semeval
canister,has,filtration system,semeval
canister,located_in,place b,semeval
place b,located_in,country c,semeval
canister,founded_in,year 1995,semeval
congress,approves,formation of the corps of medical cadets,semeval
congress,located_in,united_states,semeval
it,used mainly on,scarff ring mounts,semeval
scarff ring mounts,belongs_to,entity not specified,semeval
it,also fitted onto,top wing of fighter aircrafts,semeval
fighter aircrafts,uses,bowden cable,semeval
bowden cable,controlled by,entity not specified,semeval
today,occurs_in,sentence,semeval
camp,is,third best keeper,semeval
team,includes,camp,semeval
high-wheelers,was descended from,early type of push-bike,semeval
early type of push-bike,occurs_in,time period without pedals,semeval
geometry,includes,term line,semeval
line,belongs_to,field_geometry,semeval
car pollution,causes,serious health problems,semeval
serious health problems,occurs_in,americans,semeval
viewers,ignore,negative posts,semeval
negative posts,occurs_in,site,semeval
site,located_in,entity not specified,semeval
offending writer,leaves,site,semeval
site,belongs_to,organization not specified,semeval
viewers,uses,feature not specified,semeval
site,supports,behavior of ignoring negative posts,semeval
molten core,has,been dropped into,semeval
river,occurs_in,location not specified,semeval
steam,occurs_in,occurrence of event,semeval
mountain ranges,located in,north-western,semeval
north-western,located in,unspecified_country,semeval
unspecified_country,belongs_to,world,semeval
core of the analyzer,uses,constraint propagation method,semeval
entity a,has,entity b,semeval
entity b,uses,technique c,semeval
entity a,occurs_in,context d,semeval
entity b,belongs_to,category e,semeval
entity a,is,type f,semeval
entity g,uses,entity a,semeval
entity h,causes,event i,semeval
entity j,located_in,location k,semeval
entity l,has_value,value m,semeval
nurse,grabs,patient,semeval
patient,is located in,room with bed,semeval
patient,escorted by,nurse,semeval
nurse,uses,arm of patient,semeval
patient,located in,hospital room,semeval
nurse,belongs_to,healthcare facility,semeval
person who created the content,belongs_to,entity a,semeval
entity a,uses,person who took something because it's there,semeval
person who took something because it's there,is unfair to,person who created the content,semeval
person who created the content,has rights over,person who took something because it's there,semeval
mushroom,is located in,mass of wet twigs and leaves,semeval
one win,causes,we've suddenly got a squad,semeval
squad,consists of,world beaters,semeval
potatoes,placed in,steaming basket,semeval
steaming basket,fitting inside,large pot,semeval
large pot,located in,unspecified location,semeval
basket,made of,unspecified material,semeval
potatoes,belongs_to,unspecified vegetable family,semeval
bill baker,said,we weren't sure how high we could go,semeval
this thesis,was asserted in,a book,semeval
book,was written by,the police chief,semeval
the police chief,belongs_to,ocrb,semeval
ocrb,located_in,place b,semeval
a_entity,has,crew,semeval
crew,is behind,counter,semeval
counter,located_in,store,semeval
entity_a,uses,ingredients,semeval
ingredients,includes,two_pieces_of_fried_chicken_breast,semeval
fried_chicken_breast,is_located_in,batter,semeval
rain,caused,cancellation of the event,semeval
event,occurred_in,1877,semeval
1877,occurred_in,1878,semeval
new law,enforced_in,1878,semeval
professional education,is concerned with,future directions of the profession,semeval
tech_and_society_magazine,has published,number of articles,semeval
tech_and_society_magazine,about,implications for society,semeval
various_trends_and_issues,in,engineering,semeval
various_trends_and_issues,in,computer_science,semeval
various_trends_and_issues,in,education,semeval
the website,has,articles,semeval
the website,has,statistics,semeval
the website,has,projections,semeval
individuals,uses,the website,semeval
teams,uses,the website,semeval
the ancient astronaut theory,has been addressed,frequently,semeval
science fiction,includes,the ancient astronaut theory,semeval
horror fiction,includes,the ancient astronaut theory,semeval
clustering,resulted in,22445 clusters,semeval
22445 clusters,composed from,two to thousands of reads,semeval
i,has,subject jacks_keller_s_recipes_for_cherry_wine,semeval
jacks_keller_s_recipes_for_cherry_wine,is_written_by,person jack_keller,semeval
person jack_keller,located_in,place unknown,semeval
entity a,got_started_on,project unknown,semeval
project unknown,uses,i,semeval
i,has,predicate read,semeval
person who_read_i,read,jacks_keller_s_recipes_for_cherry_wine,semeval
song,has,entry,semeval
contest,occurs_in,world,semeval
song,uses,music,semeval
contest,located_in,location_not_specified,semeval
song,is_entered_into,contest,semeval
floppies,has,format dos fat12,semeval
floppies,produced by,factory,semeval
factory,located_in,recent years,semeval
floppies,shipped_with,pre-formatting,semeval
floppies,uses,operating system dos,semeval
