subject,predicate,object,file_id
profound change,such lines from,pen of author widely read by younger part,semeval
change,such lines from,pen of author widely read by younger part,semeval
profound change,such lines from,pen of young author widely read by part of population,semeval
change,such lines from,pen of young author,semeval
such lines,only confirm,change in mood,semeval
such lines,confirm,change in mood,semeval
change,lines from,pen of author widely read by younger part of population,semeval
such lines,only confirm,profound change,semeval
change,lines from,pen of author widely read,semeval
change,such lines from,pen of young author read by younger part of population,semeval
profound change,such lines from,pen of young author widely read by younger part of population,semeval
change,such lines from,pen of author read,semeval
lines,confirm,change,semeval
profound change,such lines from,pen of young author widely read,semeval
change,lines from,pen of young author widely read by part of population,semeval
profound change,lines from,pen of author widely read,semeval
profound change,lines from,pen of young author widely read by part of population,semeval
change,such lines from,pen,semeval
profound change,lines from,pen of author read,semeval
profound change,lines from,pen of young author read,semeval
profound change,lines from,pen of author read by younger part of population,semeval
lines,confirm,change in mood of freuch proletariat,semeval
profound change,lines from,pen of author read by younger part,semeval
profound change,lines from,pen of young author,semeval
profound change,such lines from,pen of young author read by younger part,semeval
profound change,lines from,pen of author widely read by part of population,semeval
profound change,such lines from,pen of author widely read by part of population,semeval
profound change,lines from,pen of author,semeval
such lines,confirm,profound change in mood of freuch proletariat,semeval
profound change,such lines from,pen of author read by younger part of population,semeval
lines,only confirm,change in mood,semeval
profound change,lines from,pen of author read by part,semeval
profound change,lines from,pen of young author read by younger part of population,semeval
lines,confirm,profound change,semeval
profound change,is in,mood of freuch proletariat,semeval
change,such lines from,pen of young author widely read by part,semeval
lines,only confirm,change in mood of freuch proletariat,semeval
profound change,lines from,pen of young author read by part of population,semeval
change,lines from,pen of young author read by younger part of population,semeval
change,lines from,pen of young author widely read by younger part,semeval
change,such lines from,pen of young author read by part of population,semeval
profound change,lines from,pen of author widely read by younger part,semeval
change,such lines from,pen of young author widely read by part of population,semeval
change,such lines from,pen of young author read by part,semeval
profound change,lines from,pen of young author read by younger part,semeval
profound change,such lines from,pen of author widely read,semeval
profound change,such lines from,pen of author read by part of population,semeval
change,lines from,pen of author read by part,semeval
profound change,lines from,pen of author widely read by part,semeval
profound change,such lines from,pen of young author,semeval
profound change,lines from,pen of young author widely read by younger part of population,semeval
profound change,such lines from,pen of author widely read by younger part of population,semeval
such lines,only confirm,change,semeval
change,lines from,pen of young author read by younger part,semeval
profound change,such lines from,pen of author read,semeval
change,lines from,pen of young author widely read by part,semeval
profound change,lines from,pen of young author widely read by part,semeval
change,such lines from,pen of young author read,semeval
profound change,such lines from,pen of young author read by part,semeval
such lines,only confirm,profound change in mood,semeval
change,such lines from,pen of young author widely read by younger part,semeval
such lines,confirm,change in mood of freuch proletariat,semeval
profound change,lines from,pen of young author read by part,semeval
profound change,such lines from,pen of young author read by part of population,semeval
change,lines from,pen of young author,semeval
profound change,lines from,pen of young author widely read by younger part,semeval
change,lines from,pen of young author widely read by younger part of population,semeval
profound change,such lines from,pen of young author widely read by part,semeval
change,such lines from,pen of author widely read by younger part of population,semeval
profound change,lines from,pen of young author widely read,semeval
change,such lines from,pen of author widely read,semeval
profound change,such lines from,pen of author read by younger part,semeval
profound change,such lines from,pen of young author read,semeval
such lines,confirm,profound change in mood,semeval
change,such lines from,pen of author read by part of population,semeval
change,such lines from,pen of author,semeval
lines,confirm,profound change in mood of freuch proletariat,semeval
change,such lines from,pen of author read by younger part,semeval
change,lines from,pen of author,semeval
lines,only confirm,profound change in mood,semeval
change,such lines from,pen of author widely read by part of population,semeval
lines,confirm,change in mood,semeval
such lines,confirm,change,semeval
receiver,was outputting tone to,my deva 5,semeval
receiver,was outputting,same tone,semeval
receiver,was outputting,tone,semeval
squad,stormed police training school on,outskirts of lahore,semeval
people,were killed at_time,yesterday,semeval
police training school,squad of,armed militants,semeval
squad,stormed police training school on,outskirts,semeval
police training school,squad of,militants,semeval
police training school,squad of,heavily armed militants,semeval
squad,spraying,it,semeval
squad,stormed,police training school,semeval
telescope,comprises,lenses,semeval
both,are,extremely important,semeval
both,are extremely important to,performance of telescope,semeval
both,are important to,performance,semeval
both,are extremely important to,performance,semeval
both,are important to,performance of telescope,semeval
lenses,telescope,tubes,semeval
both,are,important,semeval
we,poured,pulp,semeval
we,poured pulp into,tupperware tub,semeval
we,poured pulp into,tupperware tub filled,semeval
we,poured pulp into,tupperware tub filled with water,semeval
carpenters,build,things,semeval
carpenters,build,many things,semeval
carpenters,build things from,wood like buildings,semeval
carpenters,build things from,wood,semeval
milk samples,were,obtained,semeval
milk samples,were obtained from,one milking of cow,semeval
comparison,offered by,novel,semeval
his speech,criticised idea as,journey,semeval
his speech,criticised idea as,journey around religions,semeval
his speech,criticised,idea,semeval
his speech,criticised,idea of education,semeval
his speech,criticised idea as,journey around various religions,semeval
his speech,criticised,idea of religious education,semeval
bread,prepared with,rice flour,semeval
body,unleashes,its extraterrestrial passenger,semeval
body,unleashes,its passenger,semeval
asteroid,threatened earth with,disaster,semeval
asteroid,threatened,earth,semeval
farm,was,subsistence farm,semeval
farm,was,productive,semeval
farm,had,forty acres,semeval
primary source,is with,sheep,semeval
farm,was,productive subsistence farm,semeval
laptop,was inside,protective plastic bag,semeval
laptop,was inside,plastic bag,semeval
laptop,was,protective,semeval
his assaults,provoke,telephone operator,semeval
his verbal assaults,provoke,telephone operator,semeval
he,weaves,tales concerning concerns of happiness,semeval
he,weaves,complex tales concerning romantic concerns of happiness,semeval
he,weaves,tales concerning romantic concerns,semeval
he,weaves,complex tales concerning concerns of happiness,semeval
he,weaves,tales concerning romantic concerns of happiness,semeval
he,weaves,tales concerning concerns,semeval
he,weaves,complex tales concerning romantic concerns,semeval
he,weaves,tales,semeval
he,weaves,complex tales concerning concerns,semeval
he,weaves,complex tales,semeval
company,has remodeled,church,semeval
company,has remodeled church after,handsome renovations at locales,semeval
company,has remodeled church after,handsome renovations at various locales,semeval
company,has remodeled church after,renovations at locales,semeval
company,has remodeled church into,home,semeval
company,has remodeled church after,handsome renovations,semeval
company,has remodeled church after,renovations,semeval
company,has remodeled church after,renovations at various locales,semeval
unmanned atm,is in,tokyo 's minato ward,semeval
camera,found by,security guard,semeval
hidden camera,found by,security guard,semeval
tokyo,in,minato ward,semeval
swim bladder,be,researched,semeval
swim bladder,be,researched more,semeval
swim bladder,gives,them,semeval
we,again set on,morning of 16th,semeval
we,set on,morning of 16th,semeval
we,set forward on,morning,semeval
we,set on,morning,semeval
we,again set on,morning,semeval
we,again set forward on,morning,semeval
we,again set forward on,morning of 16th,semeval
we,set forward on,morning of 16th,semeval
coloring,is derived from,grand duke 's coat,semeval
coloring,is,derived,semeval
grand duke,from,coat of arms,semeval
coloring,is derived from,grand duke 's coat of arms,semeval
multi-purpose electrician pliers tool,is,crucial,semeval
electrician pliers tool,is,crucial,semeval
gps network adjustment,is,accomplished,semeval
we,built city on,rock,semeval
we,built,city,semeval
parents,went,poor,semeval
parents,went,since poor,semeval
they,were,poor,semeval
they,were,since poor,semeval
parents,went away,police station,semeval
william h. parker,was,police chief,semeval
william h. parker,was,police chief in los angeles police department,semeval
william h. parker,was,serving police chief,semeval
serving police chief,is in,los angeles police department,semeval
william h. parker,was,serving police chief in los angeles police department,semeval
hospitals,use apparatus at_time,today,semeval
boots,were in,box of stuff,semeval
boots,were in,box,semeval
roadside attractions,are,advertised,semeval
roadside attractions,are,frequently advertised,semeval
billboards,attract,tourists,semeval
guy,convinced,car to drive,semeval
guy,convinced,with car drive,semeval
guy,convinced,with car to drive,semeval
guy,convinced,car drive,semeval
design,is by,my wife,semeval
my,wife,bianca,semeval
he,joined,esenin 's small circle of literary hooligans,semeval
his debut,occured in,1919,semeval
he,joined,esenin 's circle,semeval
he,joined,imaginists,semeval
he,joined,esenin 's circle of literary hooligans,semeval
his literary debut,occured in,1919,semeval
he,joined,esenin 's small circle of hooligans,semeval
he,joined,esenin 's circle of hooligans,semeval
esenin,has,small circle of literary hooligans,semeval
he,joined,esenin 's small circle,semeval
my rabbit,just had,litter,semeval
my rabbit,just had,litter of rabbits,semeval
my rabbit,had,litter of rabbits,semeval
my rabbit,had,litter,semeval
my rabbit,had,new litter,semeval
my rabbit,just had,new litter,semeval
my rabbit,just had,new litter of rabbits,semeval
my rabbit,had,new litter of rabbits,semeval
several texts,relate,anecdotes associated,semeval
several texts,relate,anecdotes associated with his birth,semeval
texts,relate,anecdotes associated,semeval
several texts,explain,his iconography,semeval
texts,relate,anecdotes associated with his birth,semeval
several texts,relate,anecdotes,semeval
texts,explain,his iconography,semeval
texts,explain,his distinct iconography,semeval
texts,relate,mythological anecdotes,semeval
several texts,relate,mythological anecdotes associated with his birth,semeval
texts,relate,mythological anecdotes associated with his birth,semeval
texts,relate,mythological anecdotes associated,semeval
several texts,relate,mythological anecdotes,semeval
several texts,explain,his distinct iconography,semeval
texts,relate,anecdotes,semeval
several texts,relate,mythological anecdotes associated,semeval
punch,is with,soot,semeval
punchcutter,makes imprint on,piece of paper,semeval
punchcutter,makes imprint on,piece,semeval
punchcutter,makes,imprint,semeval
punchcutter,test,punch,semeval
they,connected to,plug,semeval
they,connected plug to,plug,semeval
they,connected,plug of battery box,semeval
they,connected plug to,plug of charger,semeval
they,connected,plug,semeval
they,connected to,plug of charger,semeval
our visit,is,part,semeval
microbes,cause,sickness,semeval
presentation,uses,animation,semeval
microbes,outlines,measures,semeval
germs,cause,sickness,semeval
microbes,outlines,simple preventive measures,semeval
microbes,outlines,simple measures,semeval
microbes,outlines,preventive measures,semeval
possible implications,were indicated in,first publication,semeval
possible implications,were,indicated,semeval
possible implications,were indicated in,publication,semeval
they,are,because harmful,semeval
document,is about,illegal drugs,semeval
they,are,harmful,semeval
document,is about,drugs,semeval
bazooka,is going,to,semeval
model,is,derived,semeval
model,is derived from,example used by bertrand meyer,semeval
model,is derived from,example used in his book,semeval
his,book,object oriented software construction,semeval
model,is derived from,example used by bertrand meyer in his book,semeval
model,is derived from,example used,semeval
model,is derived from,example,semeval
researchers,synthesized,ingredients,semeval
researchers,synthesized,basic ingredients,semeval
ale,poured slowly at,foam,semeval
ale,poured at,first foam,semeval
ale,poured slowly at,first foam,semeval
ale,poured at,foam,semeval
central vacuum,is,vacuum motor system built inside canister,semeval
central vacuum,is,vacuum motor system built,semeval
central vacuum,is,vacuum motor system,semeval
vacuum,is,vacuum motor system built inside canister,semeval
vacuum,is,vacuum motor system built,semeval
vacuum,is,vacuum motor system,semeval
analysts,assess distribution by,using frequency,semeval
analysts,assess distribution over,time,semeval
distribution,analysts,changes,semeval
analysts,assess,distribution in distribution,semeval
analysts,assess,distribution,semeval
analysts,assess distribution by,frequency,semeval
distribution,is in,distribution,semeval
camp,is best keeper in,team,semeval
camp,is keeper in,team,semeval
third best keeper,is in,team,semeval
camp,is third keeper in,team,semeval
camp,is,third keeper,semeval
camp,is,best keeper,semeval
it,was proved at_time,today,semeval
camp,is,third best keeper,semeval
camp,is third best keeper in,team,semeval
camp,is,keeper,semeval
high wheelers,were,descended from type without pedals,semeval
wheelers,were,descended from type of push bike without pedals,semeval
wheelers,were descended from,type,semeval
wheelers,were,descended from type without pedals,semeval
high wheelers,were descended from,type of push bike,semeval
wheelers,were descended from,early type,semeval
wheelers,were,descended from early type without pedals,semeval
high wheelers,were descended from,type,semeval
wheelers,were descended from,type of push bike,semeval
wheelers,were descended from,early type of push bike,semeval
high wheelers,were,descended,semeval
wheelers,were,descended,semeval
wheelers,were,descended from early type of push bike without pedals,semeval
high wheelers,were,descended from early type without pedals,semeval
high wheelers,were descended from,early type of push bike,semeval
wheelers,were descended without,pedals,semeval
high wheelers,were descended from,early type,semeval
high wheelers,were,descended from type of push bike without pedals,semeval
high wheelers,were descended without,pedals,semeval
high wheelers,were,descended from early type of push bike without pedals,semeval
basic terms,is in,geometry,semeval
pollution,is causing,health problems,semeval
pollution,is causing health problems as,result,semeval
health problems,pollution from,cars,semeval
pollution,is causing,serious health problems,semeval
serious health problems,pollution from,cars,semeval
pollution,is causing,serious health problems for americans,semeval
pollution,is causing,health problems for americans,semeval
offending writer,leaves,site,semeval
viewers,ignore,posts,semeval
viewers,ignore,negative posts,semeval
writer,leaves,site,semeval
writer,often leaves,site,semeval
offending writer,often leaves,site,semeval
core,have,have dropped,semeval
molten core,investigate,conditions,semeval
molten core,have,have dropped,semeval
core,investigate,conditions of occurrence,semeval
core,investigate,conditions of occurrence of steam,semeval
molten core,investigate,conditions of occurrence of steam,semeval
core,have,have dropped into river,semeval
core,investigate,conditions,semeval
molten core,have,have dropped into river,semeval
molten core,investigate,conditions of occurrence,semeval
metamorphic lithics,main origin of is,mountain located,semeval
metamorphic lithics,origin of is,mountain,semeval
metamorphic lithics,main origin of is,mountain located in north western,semeval
origin,is from,mountain located in north western,semeval
origin,is from,mountain,semeval
metamorphic lithics,origin of is,mountain located,semeval
main origin,is from,mountain,semeval
lithics,origin of is,mountain,semeval
lithics,origin of is,mountain located in north western,semeval
lithics,main origin of is,mountain,semeval
metamorphic lithics,main origin of is,mountain,semeval
origin,is from,mountain located,semeval
lithics,origin of is,mountain located,semeval
lithics,main origin of is,mountain located in north western,semeval
metamorphic lithics,origin of is,mountain located in north western,semeval
main origin,is from,mountain located,semeval
lithics,main origin of is,mountain located,semeval
main origin,is from,mountain located in north western,semeval
core,first identifies,paths,semeval
infeasible paths,core of,analyzer,semeval
core,first identifies,infeasible paths,semeval
paths,core of,analyzer,semeval
core,identifies,paths,semeval
core,identifies,infeasible paths,semeval
he,has combined,intelligent history,semeval
he,has combined,history,semeval
he,has combined history with,prose,semeval
he,has combined history with,moving prose,semeval
attributes,are,inherited,semeval
attributes,are inherited to,their children,semeval
bee,carries pollen in,pollen basket back,semeval
bee,carries,pollen,semeval
bee,carries pollen in,pollen basket back to hive,semeval
bee,carries pollen in,pollen basket,semeval
nurse,grabs,patient,semeval
nurse,grabs patient by,arm,semeval
nurse,escorts,her back,semeval
mushroom,was found in,mass,semeval
mushroom,was found in,mass of twigs,semeval
mushroom,was,found,semeval
mushroom,was found in,mass of wet twigs,semeval
we,'ve got,squad,semeval
we,'ve suddenly got,squad of world beaters,semeval
we,squad of,world beaters,semeval
we,'ve got,squad of world beaters,semeval
we,'ve suddenly got,squad,semeval
we,placed potatoes in,steaming basket,semeval
we,meanwhile placed potatoes in,basket,semeval
we,placed potatoes in,basket,semeval
we,placed,potatoes,semeval
we,meanwhile placed potatoes in,steaming basket,semeval
we,meanwhile placed,potatoes,semeval
building,has,structural engineer,semeval
skidmore,of baker is,building 's structural engineer,semeval
bill baker,engineer 's,building,semeval
thesis,was asserted in,book written by police chief,semeval
thesis,was asserted in,book written by police chief of ocrb,semeval
thesis,was asserted in,book written,semeval
thesis,was,asserted,semeval
thesis,was asserted in,book,semeval
sandwiches,busy crew behind,counter,semeval
busy crew,assembles sandwiches with,two pieces,semeval
busy crew,assembles,sandwiches,semeval
busy crew,assembles sandwiches with,two pieces of chicken breast,semeval
busy crew,assembles sandwiches with,two pieces of fried chicken breast,semeval
crew,assembles sandwiches with,two pieces,semeval
sandwiches,crew behind,counter,semeval
crew,assembles sandwiches with,two pieces of fried chicken breast,semeval
crew,assembles sandwiches with,two pieces of chicken breast,semeval
crew,assembles,sandwiches,semeval
enforcement,had wait until,1878,semeval
rain,caused cancellation in,1877,semeval
rain,caused,cancellation,semeval
enforcement,so had wait until,1878,semeval
rain,caused,cancellation of event,semeval
education,is,concerned,semeval
education,is inevitably concerned with,future directions of profession,semeval
education,is inevitably concerned with,future directions,semeval
education,is,inevitably concerned,semeval
various trends,is in,engineering,semeval
education,is concerned with,future directions,semeval
education,is concerned with,future directions of profession,semeval
professional education,is concerned with,future directions of profession,semeval
professional education,is inevitably concerned with,future directions,semeval
professional education,is,inevitably concerned,semeval
professional education,is,concerned,semeval
professional education,is concerned with,future directions,semeval
professional education,is inevitably concerned with,future directions of profession,semeval
website,publishes,analytical articles,semeval
articles,website,statistics,semeval
articles,website,advanced statistics,semeval
website,publishes,articles,semeval
analytical articles,website,advanced statistics,semeval
analytical articles,website,statistics,semeval
astronaut theory,has,has addressed frequently,semeval
astronaut theory,has,has addressed frequently in science fiction,semeval
astronaut theory,has,has addressed in science fiction,semeval
ancient astronaut theory,has,has addressed,semeval
ancient astronaut theory,has,has addressed frequently in science fiction,semeval
astronaut theory,has,has addressed,semeval
ancient astronaut theory,has,has addressed in science fiction,semeval
ancient astronaut theory,has,has addressed frequently,semeval
clustering,resulted in,22445 clusters,semeval
i,got,started on project by reading jack keller 's recipes for cherry wine,semeval
i,got started by,jack keller 's recipes,semeval
i,got started by,jack keller 's recipes for cherry wine,semeval
i,got started by,reading jack keller 's recipes,semeval
i,got started by,reading jack keller 's recipes for cherry wine,semeval
i,got,started on project by reading jack keller 's recipes,semeval
i,got,started on project by jack keller 's recipes,semeval
i,got,started on project by jack keller 's recipes for cherry wine,semeval
song,has,has entered into contest unofficially,semeval
song,has,has entered unofficially,semeval
song,has,has entered,semeval
song,has,has entered into contest,semeval
most floppies,have shipped in,years,semeval
floppies,have shipped in,years,semeval
most floppies,have shipped in,recent years,semeval
floppies,have shipped in,recent years,semeval
