multi-purpose electrician pliers tool,is crucial for,severing wire,semeval
severing wire,involves,any gauge wire,semeval
any gauge wire,is worked on by,electrician,semeval
gps network adjustment of data from both epochs,uses,ski tm software,semeval
ski tm software,has feature,constrains network adjustment,semeval
we,built,city,semeval
city,is based on,rock and roll,semeval
parents,went away from,police station,semeval
parents,were,poor,semeval
william h. parker,served as,los angeles police department police chief,semeval
los angeles police department police chief position,has duration,longest serving,semeval
hospitals,use,blowby apparatus,semeval
boots,were_in,box,semeval
box,was_from,post_office,semeval
post_office_box,picked_up_by,boys,semeval
curtain,fell_after,post_office_visit,semeval
roadside attractions,are advertised with,billboards,semeval
billboards,attract,tourists,semeval
guy,convinced,local,semeval
local,has,car,semeval
guy,used,car,semeval
car,drove,somewhere,semeval
guy,procured,beer,semeval
design,is_by,bianca,semeval
his literary debut,occurred in,1919,semeval
his literary debut,involved joining,"esenin's small circle of ""literary hooligans""",semeval
"esenin's small circle of ""literary hooligans""",is known as,the imaginists,semeval
my rabbit,has litter,new rabbits,semeval
texts,relate,mythological anecdotes,semeval
mythological anecdotes,associated with,birth,semeval
mythological anecdotes,associated with,exploits,semeval
texts,explain,distinct iconography,semeval
new documents,point out,troubling strategies,semeval
troubling strategies,utilized by,enron,semeval
punchcutter,makes,imprint,semeval
imprint,on,piece of paper,semeval
punchcutter,coats,punch,semeval
punch,with,soot from open flame,semeval
they,connected,battery box plug,semeval
battery box plug,to,charger plug,semeval
our visit,has program,general strategy,semeval
general strategy,targets,global community,semeval
general strategy,benefits,our economy,semeval
general strategy,enhances,national security,semeval
general strategy,promotes,welfare of ofws,semeval
welfare of ofws,includes,biggest community in saudi arabia,semeval
presentation,has program,animation program,semeval
animation program,targets,germs and microbes,semeval
animation program,explains,sickness cause,semeval
presentation,outlines,preventive measures,semeval
presentation,uses,animation,semeval
animation,shows,germs_and_microbes_cause_sickness,semeval
animation,outlines,preventive_measures,semeval
first_publication,indicates,possible_implications,semeval
document,is about,illegal drugs,semeval
illegal drugs,are claimed to be,harmful,semeval
harmful nature,makes them,illegal,semeval
bazooka,is_from,mafia_game,semeval
mafia_game,has_variant,bazooka,semeval
model,is_derived_from_example_in_book_by,bertrand_meyer_object-oriented_software_construction,semeval
researchers,has program,synthesis of basic ingredients,semeval
ale,pours into,mug,semeval
mug,contains,foam,semeval
foam,transforms into,translucent liquid,semeval
translucent liquid,clarifies into,amber suds-topped liquid,semeval
central vacuum,has component,vacuum motor,semeval
central vacuum,has component,filtration system,semeval
filtration system,is built_inside,canister,semeval
vacuum motor,is built_inside,canister,semeval
congress,approved,formation of the corps of medical cadets,semeval
formation of the corps of medical cadets,occurred on,"august 3, 1861",semeval
it,was used mainly on,scarff ring mounts,semeval
it,was also fitted onto,the top wing of fighter aircrafts,semeval
the top wing of fighter aircrafts,controlled by,bowden cable,semeval
analysts,assess,distribution,semeval
distribution,changes_over_time,frequency,semeval
camp,is,third_best_keeper,semeval
third_best_keeper,in_context_of,team,semeval
high-wheelers,are descended from,early type of push-bike,semeval
early type of push-bike,lacks,pedals,semeval
line,is_basic_term_in,geometry,semeval
pollution from cars,causes,serious health problems,semeval
serious health problems,affect,americans,semeval
viewers,ignore,negative posts,semeval
negative posts,cause,offending writer leaves site,semeval
molten core,has been dropped into,river,semeval
river,is used to investigate,conditions of occurrence,semeval
conditions of occurrence,involve,steam,semeval
metamorphic lithics,have origin,mountain ranges,semeval
mountain ranges,located in,north-western,semeval
core of the analyzer,uses method,constraint propagation,semeval
constraint propagation,identifies,infeasible paths,semeval
he,has combined,intelligent history,semeval
intelligent history,with,moving prose,semeval
he,creating,informative narrative,semeval
informative narrative,inspiring,people's history,semeval
attributes,are inherited by,children,semeval
bee,carries,pollen,semeval
pollen,stored_in,pollen_basket,semeval
bee,returns_to,hive,semeval
nurse,grabs,patient,semeval
patient,is_grabbed_by,nurse,semeval
nurse,escorts,patient,semeval
patient,is_escorted_by,nurse,semeval
patient,goes_to,bed,semeval
taking something because it's there,is unfair to,the person who created the content,semeval
the person who created the content,whose rights come first,the creator's rights,semeval
mushroom,was_found_in,mass_of_wet_twigs_and_leaves,semeval
team,has_win,one,semeval
team,becomes,squad_of_world_beaters,semeval
we,placed,potatoes,semeval
potatoes,in,steaming basket,semeval
steaming basket,fitting inside,large pot,semeval
bill baker,said,"""we weren't sure how high we could go""",semeval
bill baker,works for,"skidmore, owings & merrill",semeval
skidmore,owings & merrill,"is structural engineer of, building",semeval
thesis,was_asserted_in,book,semeval
book,was_written_by,police_chief_of_ocrb,semeval
busy crew behind the counter,has program,sandwich assembly program,semeval
sandwich assembly program,has amount,two pieces of fried chicken breast,semeval
two pieces of fried chicken breast,are,beautifully battered,semeval
rain,caused cancellation of,event,semeval
event,cancelled in,1877,semeval
enforcement of new law,had to wait until,1878,semeval
professional education,is concerned with,future directions of the profession,semeval
technology and society magazine,has published,articles about implications for society,semeval
technology and society magazine,has published,trends in engineering,semeval
technology and society magazine,has published,issues in computer science,semeval
technology and society magazine,has published,education related trends,semeval
website,publishes,analytical articles,semeval
website,publishes,advanced statistics,semeval
website,publishes,projections for individuals,semeval
website,publishes,projections for teams,semeval
clustering,resulted in,22445 clusters,semeval
22445 clusters,composed from,two to thousands of reads,semeval
project,started_by,user,semeval
user,read,jack_keller's_recipes_for_cherry_wine,semeval
song,has_status,unofficial_entry,semeval
floppies,are shipped as,dos fat12 floppies,semeval
dos fat12 floppies,have format type,fat12,semeval
